0.498 % prompt : the prompt for your fic .  % creative % http://amishamj.livejournal.com/824.html 
0.371 % a hasty remark from the husband or from some neighbor which would be forgotten if anything happened to divert her mind , is brooded over until it becomes a mighty insult .  % lonely % http://nessachan.livejournal.com/321645.html 
0.371 % you giggle into reading something that soothes your heart , but wait , there s a punchy effect knowing that s it s specially written for you .  % bouncy % http://netcriminal.livejournal.com/53719.html 
0.371 % funny how apparently one of my first memories are associated with sadness and guilt .  % uncomfortable % http://marine-algae.livejournal.com/42500.html 
0.371 % spontaneous or planned ?  % crappy % http://ninjatrtlechik.livejournal.com/30339.html 
0.371 % , words : catalyst event .  % sleepy % http://mymightypen.livejournal.com/22199.html 
0.370 % memory meme : post a memory of me in the comments .  % geeky % http://markus6986.livejournal.com/12187.html 
0.370 % she breaks her concentration long enough to temper the insult with a teasingly raised eyebrow .  % sick % http://mylittleredgirl.livejournal.com/87490.html 
0.370 % marijuana supposedly helps dull the effects of the mood swings that come along with being manic depressive , and it gives a high which can counter the low from the mood swings .  % frustrated % http://amethyst-angel.livejournal.com/6219.html 
0.370 % perceived self efficacy to exercise control over stressors plays a central role in anxiety arousal .  % thankful % http://neugotik.livejournal.com/177312.html 
0.370 % not this stupid prompt , another one .  % uncomfortable % http://marika-kailaya.livejournal.com/394797.html 
0.370 % magic s cosmological implications play an important part in the novel , to satisfying effects .  % refreshed % http://ninja-turbo.livejournal.com/162946.html 
0.370 % taste of chaos tour tweeter center camden nj opiate for the masses didnt see bleed the dream didnt see a static lullaby underoath senses fail killswitch engage my chemical romance the used prelude : we had a delay at school cause of the snow .  % content % http://nino40bs11.livejournal.com/63197.html 
0.370 % break up with me be caused physical pain or cause someone physical pain ?  % sore % http://mylongsleveshrt.livejournal.com/20178.html 
0.370 % sometimes my brain would start to narrate .  % geeky % http://ninoyacat.livejournal.com/2337.html 
0.370 % and then there s this other _ways prompt that involves a death , and a good deal of humility .  % sore % http://marika-kailaya.livejournal.com/513299.html 
0.370 % you fear that a relationship with another radic ; may somehow end up complex and ultimately imaginary .  % okay % http://mynock25.livejournal.com/331106.html 
0.370 % so my brain reacts like any other and tries to shove it into the pre created cubbyholes of emotions .  % indescribable % http://nesuphyn.livejournal.com/13431.html 
0.370 % of course , memories erased is already published , memories erased : treachery is complete and looking for a home , while the other two , as wips , are subject to change .  % pensive % http://niquibri.livejournal.com/63389.html 
0.370 % lips romantic memory : personal stuff .  % bored % http://marizzlenizzle.livejournal.com/19103.html 
0.370 % just hypothesis upon hypothesis ... questions swirling around like gases ... music is singing straight into my heart .  % ditzy % http://nessargh.livejournal.com/20053.html 
0.370 % then some shit happened and it nearly resulted in me letting the aohell die and the ensuing events annoyed me a bit and as soon as i knew ... i was very tempted to grab my favorite knife and create some new scars into my chest .  % sad % http://ninionized.livejournal.com/308964.html 
0.370 % she ignores the spark of something like electricity that curls all through her at the tone of his voice .  % cheerful % http://mylittleredgirl.livejournal.com/89437.html 
0.370 % shakes her head definitely memories there , too .  % busy % http://ninja-juice.livejournal.com/18767.html 
0.370 % cause that might just bring a little clarity .  % curious % http://nervetosing.livejournal.com/10175.html 
0.370 % sometimes , this anxiety is so intense and unmanageable that it becomes a cause to abandon a venture out of fear of failure .  % mellow % http://nerfalot.livejournal.com/20094.html 
0.370 % it s always the first thing you hear when you go into the dentist s and the second thing to assault your senses , after that smell and the mere memory or evocation of it is enough to bring one out in a cold sweat .  % disappointed % http://nestashouse.livejournal.com/119837.html 
0.370 % someone give me a prompt ; you can request certain characters to be involved .  % working % http://marika-kailaya.livejournal.com/428439.html 
0.370 % and despite the random chaos element that my mission may turn into tapioca tequila and girly magazines , every highly trained force needs a jake grenade .  % nerdy % http://marlburian.livejournal.com/188062.html 
0.370 % , have written several _ways prompts involving what can be described as life after killing a large nine thousand year old demon , one or two originalfics prompts involving the editor and her personal alternate reality .  % determined % http://marika-kailaya.livejournal.com/498471.html 
0.370 % com trait snapshot : messy , depressed , introverted , feels invisible , does not make friends easily , nihilistic , reveals little about self , fragile , dark , bizarre , feels undesirable , dislikes leadership , reclusive , weird , irritable , frequently second guesses self , unassertive , unsympathetic , low self control , observer , worrying , phobic , suspicious , unproductive , avoidant , negative , bad at saving money , emotionally sensitive , does not like to stand out , dislikes large parties , submissive , daydreamer  % amused % http://amleth23.livejournal.com/5594.html 
0.370 % what happened to my ability to have fun with short stories based off of prompt generators ?  % working % http://ammepyre.livejournal.com/574920.html 
0.370 % going back and reading random chunks is rather thought provoking , much like reading my written journal from long , long ago .  % accomplished % http://netgecko.livejournal.com/194769.html 
0.370 % ... points out randomly a common argument between meki and ray would be meki insisting ray cut his hair it s messy .  % numb % http://marika-kailaya.livejournal.com/512278.html 
0.370 % your band name should contain one of the following words : blood , murder , kill , victim or butterfly .  % content % http://my-own-homicide.livejournal.com/11648.html 
0.369 % the immediate feeling after a kill never lasted .  % sick % http://marioftheforest.livejournal.com/4052.html 
0.369 % not aggressive unless provoked .  % cranky % http://ammepyre.livejournal.com/243036.html 
0.369 % as eddy said it was your personality amplified .  % confused % http://mynormajean.livejournal.com/46561.html 
0.369 % strikes pose i also find it sort of funny that half the stuff linked there was inspired or forced .  % cheerful % http://marika-kailaya.livejournal.com/497831.html 
0.369 % i ve put up the character diary prompts from evolution over there .  % tired % http://ammepyre.livejournal.com/94391.html 
0.369 % when negative thoughts and feelings threaten to overwhelm you , take a time out and do something that makes you happy .  % bouncy % http://marjoriebaldwin.livejournal.com/16358.html 
0.369 % keep in mind that the memory that this would leave behind would have to strike such a devastating , humiliating blow to your psyche that you could glean no possible emotional physical sexual satisfaction from the act itself .  % exhausted % http://ninjacooter.livejournal.com/150486.html 
0.369 % they pump all kinda of chemicals into my blood steam like adrenalin to make my heart react and stimulate it .  % worried % http://nirvanalives.livejournal.com/9160.html 
0.369 % however , it could also foreshadow disaster tonight at the bar .  % anxious % http://markuspyronis.livejournal.com/70112.html 
0.369 % but , for each one that sounds some what promising my anti muse administers a depressingly immediate smack down to it .  % annoyed % http://ammepyre.livejournal.com/579708.html 
0.369 % what impelled me to dredge up these memories , dust them off and prepare them for perusal ?  % amused % http://amethystfae.livejournal.com/7612.html 
0.369 % you are the lovers motive , power , and action , arising from inspiration and impulse .  % tired % http://ami-dessin.livejournal.com/3517.html 
0.369 % cause that just causes me to really freak out worse .  % drained % http://amesha-spentas.livejournal.com/29768.html 
0.369 % tmp machine gun rifle semi auto sniper rifle scope semi auto rifle incendiary grenade x flame grenades tmp ammo handgun ammo first aid spray rifle ammo special move : fan kick weak jack krauser : the traitor bow strong arrows flash grenade x first aid spray special move : kick super special move : tentacle arm destroys everything it touches btw , this guy is the best hunk : the special ops tmp much stronger than the original tmp ammo hand grenade x first aid spray special move : neck breaker instant kill albert wesker : the evil genius handgun with a x chance of headshot killer an extremly powerful magnum rifle semi auto hand grenade x flash grenade x incendiary grenade first aid spray silencer handgun special move : thrust punch powerful if it were my best characters , i d have to say the last the fact that wesker has a silencer is just too cool .  % happy % http://mariorpg.livejournal.com/43225.html 
0.369 % sigh flip flip flip brehm s theory of psychological reactance predicts that , when any attempt at social influence causes a person to feel a loss of personal freedom , the person may respond by acting in a way that is the opposite of what is desired .  % thoughtful % http://nirvyone.livejournal.com/98283.html 
0.369 % uncomfortably emotional one might say .  % melancholy % http://nirvana-johnny.livejournal.com/68753.html 
0.369 % and of course it s just about as addicting as hunting through livejournals because you end up following links from one journal to another .  % calm % http://ammepyre.livejournal.com/213905.html 
0.369 % mouse : yeah lets not go into any detail at the moment maybe later .  % creative % http://ninja-mouse.livejournal.com/70963.html 
0.369 % or a delayed reaction , maybe .  % weird % http://mylittleredgirl.livejournal.com/41251.html 
0.369 % essentially , i will be working to induce mutations in a specific gene called msh muts homologue through the use of a that hopefully will take a part of the msh gene with it .  % excited % http://mariposear.livejournal.com/29374.html 
0.369 % another pause .  % happy % http://marioftheforest.livejournal.com/17202.html 
0.369 % perhaps a vest , though it d require a certain flare .  % weird % http://amerie-nc.livejournal.com/19708.html 
0.369 % pierce your nose or tongue : tongue be serious or be funny : funny skim or whole milk : skim die in a fire or drown : drown spend time with your parents or enemies : parents d o .  % full % http://mynameis-peace.livejournal.com/13399.html 
0.369 % maybe that would alleviate stress or something .  % distressed % http://ninjaanna.livejournal.com/7993.html 
0.369 % music is just starting to depress me .  % giddy % http://mynocturne.livejournal.com/51953.html 
0.369 % guided mastery is a powerful vehicle for instilling a robust sense of coping efficacy in people whose functioning is seriously impaired by intense apprehension and phobic self protective reactions .  % thankful % http://neugotik.livejournal.com/177312.html 
0.369 % that lasted about minutes before i was drawn into a conversation with maed , and thus began a downward spiral that lasted the night .  % tired % http://myname-nick.livejournal.com/4098.html 
0.369 % books of the moment are if chins could kill for pre bedtime reading .  % mellow % http://nisbetbryce.livejournal.com/10407.html 
0.368 % sleep turned into an undesireable activity because i would never wake up .  % annoyed % http://ninjabaggins.livejournal.com/66208.html 
0.368 % if you call bitter sarcasm and rightly timed quips and satire funny .  % excited % http://neptunesoul.livejournal.com/1051.html 
0.368 % the tears attempt to erase the memories ... but these memories are forever in my heart .  % sad % http://nerdettekelli.livejournal.com/154912.html 
0.368 % memories erased memories erased : treachery memories erased : deception memories erased : kidnapped the last one will be mick and tag s story a how they met scenario .  % pensive % http://niquibri.livejournal.com/63389.html 
0.368 % it s difficult to foreshadow a war and the things within and a pseudo revolution and a mass killing when you re getting the pov of an unknowing human .  % confused % http://marika-kailaya.livejournal.com/539678.html 
0.368 % this stroke indicates a short fuse when you get upset .  % worried % http://nessvision.livejournal.com/70828.html 
0.368 % maybe its cause of this mood change .  % horny % http://mynutsyourchin.livejournal.com/14949.html 
0.368 % when harry would fall into a melancholy mood , which happened more than people thought , bill would pull him back .  % artistic % http://amightypenguin.livejournal.com/29436.html 
0.368 % oh , the memories ... goes well with grahm crackers .  % thoughtful % http://ninjamoose42.livejournal.com/24972.html 
0.368 % for the rest , there will be necessarily a reaction ; and , in my own particular case , whenever i see a poem of mine in print , or even smoothly transcribed , the reaction is most painful .  % discontent % http://amethyst-drop.livejournal.com/37176.html 
0.368 % post a memory of me .  % bored % http://nishastar.livejournal.com/78816.html 
0.368 % post a memory of me .  % chipper % http://myoneday.livejournal.com/1711.html 
0.368 % instant gratification , and hold the long periods of self contemplation , please .  % discontent % http://nettiger.livejournal.com/2338.html 
0.368 % the dude then preceded to throw threats around to people only he could see and occasionally break out with this weird sound that was a mix between a yodel and a hyena laugh and that s not an exaggeration .  % sick % http://ammepyre.livejournal.com/260382.html 
0.368 % torn by written for this prompt on the kink meme : probably happens after school gets out , in a dark bathroom or something .  % stressed % http://niniblack.livejournal.com/102812.html 
0.368 % and a movie about a ceaseless revolt would be called rebel without a pause .  % weird % http://nirvyone.livejournal.com/43688.html 
0.368 % the fbi and a terrorist group start tracking him down because of an imminent nuclear explosion one to detect , one to prevent .  % tired % http://amisplacedphile.livejournal.com/684265.html 
0.368 % my mind is snap crackle and popping !  % okay % http://markhamsaysno.livejournal.com/39267.html 
0.368 % a typical mike and mark percussion moment .  % thirsty % http://netsuretsu.livejournal.com/56643.html 
0.368 % the vitamin b it contains regulates blood glucose levels , which can affect your mood .  % excited % http://neugotik.livejournal.com/99873.html 
0.368 % it can even affect my mood .  % hopeful % http://amiko2147483632.livejournal.com/247701.html 
0.368 % you ll just aggravate it , and even worse , you might end up with a scar .  % blank % http://nin-tendo.livejournal.com/12484.html 
0.368 % and conversation ensues .  % bored % http://nervouspooper.livejournal.com/6821.html 
0.368 % astraphobia , astrapophobia kinetophobia or fear of movement or motion .  % curious % http://ninomit-arol.livejournal.com/196862.html 
0.368 % going up the stairs was the worst , each step served to kind of punctuate the thought i was having , like some kind of bilateral stimulation .  % content % http://nervousstrain.livejournal.com/42634.html 
0.368 % cause that might make a difference .  % chipper % http://markomac.livejournal.com/4284.html 
0.368 % i remember initially tasting bitterness , and then a sort of sweet relief after it .  % awake % http://neritheka.livejournal.com/84416.html 
0.367 % worry builds in me all the time , and there is no button or lever to release the steam .  % worried % http://marius2147483639.livejournal.com/99390.html 
0.367 % a declining sense of self efficacy , which often may stem more from disuse and negative cultural expectations than from biological aging , can thus set in motion self perpetuating processes that result in declining cognitive and behavioral functioning .  % thankful % http://neugotik.livejournal.com/177312.html 
0.367 % i could feel my pout forming involuntarily , which always precedes the sourness in my nose and the tears .  % hopeful % http://marine-algae.livejournal.com/51825.html 
0.367 % feeling that her irritated skin had returned to manageable levels , chane cut off the water flow and shook the excess from her hands before turning around to allow claire to gently pat her neck dry , so she definitely did not miss the sudden spark of mischief setting in his eyes .  % blank % http://nin-tendo.livejournal.com/12484.html 
0.367 % twitches and dies umm ... excuse this but ... fuuuuuuck .  % giddy % http://netogrof.livejournal.com/83174.html 
0.367 % this despite forgetting to reset and turn on the alarm for : luckily ?  % awake % http://nerdimus-prime.livejournal.com/201374.html 
0.367 % i went on spark notes .  % indifferent % http://nesdel24.livejournal.com/5944.html 
0.367 % when needed it can stimulate , revive and energise the mind and body through its caffeine and energy content , and is a great source of , a natural mood enhancer which stimulates our body s own endorphins or feel good chemicals .  % exhausted % http://mynuthouse.livejournal.com/3115.html 
0.367 % creating a perfect paralysis of all emotional outbursts to materialize an illusion of complete harmony within life .  % blank % http://amliebsten.livejournal.com/7961.html 
0.367 % , , ... summat to that affect .  % sleepy % http://ninjahead.livejournal.com/23555.html 
0.367 % describe your most vivid memory from your childhood .  % chipper % http://my-october.livejournal.com/341223.html 
0.367 % a beautiful , homocidal rage inducing thing .  % cold % http://marika-kailaya.livejournal.com/491884.html 
0.367 % yes , particularly irrational fears .  % crazy % http://nirai-kanai.livejournal.com/78175.html 
0.367 % such good memories .  % tired % http://amessatmybest.livejournal.com/30127.html 
0.367 % it s a virtual tie between the toys of peace such a shrewd blow at the , flatulent , politically correct , do gooding kind of attitude towards children that still afflicts us a century later tobermory with its outrageous talking cat , the unrest cure though subsequent events have left rather a sour taste lurking about that one , through no fault of the author and the one i finally plumped for , even in preference to , namely the story teller .  % creative % http://nestashouse.livejournal.com/4194.html 
0.367 % it s about a handkerchief and memories .  % sore % http://ninotsjka-bloom.livejournal.com/83463.html 
0.367 % think of a small spur on the end of a handle that rols across the skin .  % thoughtful % http://markuspyronis.livejournal.com/65515.html 
0.367 % like reduced ability to think in complex fashions and a strange sort of ennui apathy accompanied by periodic mood swings .  % bouncy % http://nettiger.livejournal.com/22941.html 
0.367 % let me list them for you : fear of loss fear of love fear of rejection fear of abandonment mostly these stem from pat .  % lonely % http://mymindkillsme.livejournal.com/13647.html 
0.367 % cause its nice out .  % frustrated % http://nirvanalives.livejournal.com/11840.html 
0.367 % cause theoretically there is one in edison .  % sick % http://mynock25.livejournal.com/422913.html 
0.367 % a sudden harmonic instance transpired !  % chipper % http://nessa-munky.livejournal.com/59158.html 
0.367 % the memories still haunt me .  % crushed % http://nerk2486.livejournal.com/20075.html 
0.366 % i found such a mark intriguing , like a pre destined marking from god or something of the like .  % complacent % http://neurofrost.livejournal.com/537.html 
0.366 % clear flashbacks happen every few hours and i m felt feeling nostalgic and reminiscence of the past which i really do miss and cherish .  % thirsty % http://markthehorizon.livejournal.com/33900.html 
0.366 % this may sound like some medication induced paranoia , or maybe even the natural kind , but it isn t .  % morose % http://amikkell.livejournal.com/33999.html 
0.366 % but my perspective was like a camera panning through a neighborhood and every few minutes these explosions would occur .  % mellow % http://nerdxrawkxgirl.livejournal.com/9939.html 
0.366 % strange as that may sound it brings happiness into my thoughts .  % cranky % http://marissak.livejournal.com/29009.html 
0.366 % you sink deeper into those temporary desires passionate moments .  % indescribable % http://my-mind-is-lost.livejournal.com/16450.html 
0.366 % similarly , the fool is an essential part of the tarot because he is the spark that sets everything else into motion , the divine breath that gives life and inspires the first step towards fulfillment and completion .  % peaceful % http://marionrocknroll.livejournal.com/64581.html 
0.366 % like many other poor , our chaotic lives cause anxiety and anxiety causes illness and disease which causes us to lose time at work or not be able to secure work which causes more anxiety and it never seems to end .  % contemplative % http://ninthmoonrise.livejournal.com/718.html 
0.366 % dissapointments , anger , fears , dreads , hatred , anxieties , avoidances , stresses and depressions .  % blank % http://marlburian.livejournal.com/112674.html 
0.366 % t was a spur of the moment thing , kinda psychological too .  % creative % http://amethystgoddess.livejournal.com/89337.html 
0.366 % mouse : i m in not such a great mood with depression almost there .  % depressed % http://ninja-mouse.livejournal.com/32398.html 
0.366 % at some point in your past , there was likely an event linking being oneself or lonliness and emotional trauma .  % lonely % http://myndtoibawx.livejournal.com/12987.html 
0.366 % thanksgiving break is hardly a break at all , and it s just like a big fat tease for the end of the semester , intended to bring calm and relaxation but instead creates stress and takes away motivation .  % restless % http://marimbagirl.livejournal.com/246536.html 
0.366 % fuseaction viewimage friendid albumid imageid &gt; i hear a rhapsody word of the day brought to you by thinkmap visual thesaurus rhapsodic the straightforward meaning of this adjective is like a rhapsody , but in usage it borrows chiefly from a figurative use of rhapsody , effusively rapturous or emotional expression .  % content % http://niquibri.livejournal.com/68404.html 
0.366 % bromidrosiphobia or fear of body smells .  % curious % http://ninomit-arol.livejournal.com/196862.html 
0.366 % romantic memory : ?  % lonely % http://mylove4sunshine.livejournal.com/6443.html 
0.366 % there is some evidence that providing people with effective means for managing stressors may have a positive effect on immune function .  % thankful % http://neugotik.livejournal.com/177312.html 
0.366 % so what was the cause for such a momentous event ?  % good % http://neritheka.livejournal.com/86764.html 
0.366 % cause its not as orangy .  % lonely % http://nirvanaskittles.livejournal.com/31708.html 
0.366 % but i don t want to rekindle any painful memories between us .  % accomplished % http://marionetteowl.livejournal.com/2744.html 
0.366 % the depressing pictures and stories and idiot people talking are mixing into my own depression to create an explosive cocktail so i m limiting my exposure a bit .  % contemplative % http://ammepyre.livejournal.com/384204.html 
0.366 % maybe cause you re ?  % cranky % http://marimbafingers.livejournal.com/4366.html 
0.366 % your introduction skillfully puts the topic into an appropriate historical context .  % happy % http://nessie213.livejournal.com/138722.html 
0.366 % it might be cause of the sudden change of sleeping habits .  % awake % http://nipple-dancer.livejournal.com/8723.html 
0.366 % cause my .  % bored % http://mynutsyourchin.livejournal.com/68288.html 
0.366 % he blamed himself for causing the horrendous curse of immortality to extend even further from its original tragedy , and was surprised when everyone affected only thought it to be a cause for celebration .  % lethargic % http://nin-tendo.livejournal.com/9291.html 
0.366 % you just get all these un describable feelings and chills , and a sudden wave of comfort .  % lonely % http://markie-poo.livejournal.com/27357.html 
0.366 % this is a long and heartbreaking process or it would ve been , if i wasn t rocking out to salty dog at the time , and i took no visual record for fear the images would evoke painful memories .  % chipper % http://mynameis-jinx.livejournal.com/16407.html 
0.366 % starkiller s feelings for his pilot juno eclipse are ultimately the spark of goodness that lead him to turn away from the dark side and earn his redemption in the canon ending one of two .  % geeky % http://ninja-turbo.livejournal.com/332510.html 
0.366 % if there had been the slightest suspicion that her tumultuous teenage years would turn into the precursor of a virulent revenge spanning most of her life ... maybe .  % good % http://niquibri.livejournal.com/58194.html 
0.366 % estrogen might be what s causing the depression .  % bouncy % http://amethystpaw.livejournal.com/9956.html 
0.366 % yay for spur of the moment cosplays .  % creative % http://nippon-choco.livejournal.com/29504.html 
0.366 % psychology cause , y know , that s useful !  % weird % http://marlfox83.livejournal.com/28915.html 
0.366 % every sudden movement that i do results in a sudden jolt some part of my brain .  % sick % http://neritheka.livejournal.com/5588.html 
0.366 % in moments like those , rational thought would melt away , leaving nothing but a basic primal instinct .  % sleepy % http://nin-tendo.livejournal.com/8525.html 
0.366 % all of these memories and images keep popping into my head and making me cry .  % depressed % http://myoldchina.livejournal.com/7605.html 
0.366 % cause she experienced it .  % indescribable % http://myowntruth.livejournal.com/55783.html 
0.365 % just for background info , the alarm on my clock goes off for minutes when i push the snooze button then turns back on .  % calm % http://americankitty.livejournal.com/1578.html 
0.365 % d: the episode begins with a handy caption informing the viewer that the following events occur in i can only imagine the shock of a viewer who doesn t watch next episode previews .  % tired % http://nin-tendo.livejournal.com/5738.html 
0.365 % anything that causes me stress during what is supposed to be a break away from stress i .  % lazy % http://amishpeepshow.livejournal.com/17865.html 
0.365 % i hope you like eggs , pointing to the recipe book , cause that s all she wrote .  % indifferent % http://mylosteyeball.livejournal.com/30453.html 
0.365 % she hated succumbing to depression , but what was even worse was firo s empathetic reaction to it , which just drove her deeper into despair .  % chipper % http://nin-tendo.livejournal.com/11299.html 
0.365 % as she turns to answer , there s a spark of recognition , more at the clothes than the man and then disapproval and mild exasperation .  % amused % http://amerie-nc.livejournal.com/25764.html 
0.365 % but in movement , his hands scribble figure eights in the air and the corners of his lips twitch with repressed excitement , fireworks waiting to explode .  % hopeful % http://ninjatheatre.livejournal.com/1808.html 
0.365 % angry when provoked .  % cranky % http://ammepyre.livejournal.com/243036.html 
0.365 % angry when provoked .  % curious % http://netheril.livejournal.com/12257.html 
0.365 % the actual expulsion may occur at any moment and in any place .  % sad % http://my-mom-is-hot.livejournal.com/2368.html 
0.365 % however , ketosis can also cause a variety of unpleasant effects such as unusual breath odor and constipation in a small number of people .  % creative % http://myluckyclover.livejournal.com/216947.html 
0.365 % if she killed out of hormonal anger , the whole of nagekawashii would be in bloody chunks in not minutes .  % tired % http://marika-kailaya.livejournal.com/579038.html 
0.365 % destine for a lifetime of happyness ... coughs hint hint coughs .  % anxious % http://markie-mark.livejournal.com/6031.html 
0.365 % fireworks igniting and subsequent ear ringing .  % happy % http://marioche69.livejournal.com/878142.html 
0.365 % ; so , i m going to start with a shameless helping of firo ennis fluff with a side of angst , soon to be followed with some appropriately creepy ladd lua romance , and later , a heartrending tale of jacuzzi s descent from an ordinary law abiding citizen to the episode s flashback version .  % creative % http://nin-tendo.livejournal.com/3859.html 
0.365 % i slip into the change room , and a miracle occurs .  % depressed % http://amidemorte.livejournal.com/8097.html 
0.365 % jaime avert your eyes .  % mellow % http://nerdrock4.livejournal.com/1939.html 
0.365 % this helped me avoid any issues that would cause me to stop completely for an extended period of time .  % accomplished % http://markrunsfar.livejournal.com/30681.html 
0.365 % wondering if perhaps beau had some form of canine depression , draco fell into uneasy sleep .  % bouncy % http://amightypenguin.livejournal.com/52879.html 
0.365 % from post a memory of me .  % sleepy % http://ninjallamayama.livejournal.com/52347.html 
0.365 % first my teeth filling falls out , causes nasty cavity which causes expensive root canal , and now my car making weird grindy noise , likely some kind of expensive break repair .  % aggravated % http://nirai-kanai.livejournal.com/6622.html 
0.365 % would you classify your hair as a deadly weapon : uh , what ?  % amused % http://markis97.livejournal.com/16455.html 
0.365 % let me pause for a dramatic gesture now .  % peaceful % http://mark-texeira.livejournal.com/382.html 
0.365 % thank you for planning romantic things , even though i usually kill the mood by being pessimistic , always fearing the worst eg .  % jubilant % http://mynormajean.livejournal.com/8746.html 
0.365 % teeth reflecting the light in the room , causing a faint sparkle .  % amused % http://ninja-vanish.livejournal.com/16753.html 
0.365 % and funny that , cause it s a cookbook .  % productive % http://marle777.livejournal.com/89000.html 
0.365 % but now take this mass of childhood moments and add an extended trip down everybody s favorite depression lane scary things come around .  % contemplative % http://nirvanadragon.livejournal.com/11345.html 
0.365 % negative traits a high energy output is cause for great anxiety in some arians .  % mellow % http://nerfalot.livejournal.com/20094.html 
0.365 % my memory goes into overdrive and i remember a few prominent ones .  % nostalgic % http://markngkb.livejournal.com/1978.html 
0.365 % you will be bitten in a spooky , cobweb filled library the bite will result in your eventual turning into a vampire !  % curious % http://maril-chan.livejournal.com/5765.html 
0.365 % if i get less than five hours of sleep in one night , while sleeping off a painkiller , and wake up sooner than expected because someone was yelling , my response will be to threaten bodily harm upon the next human being who raises their voice above a whisper .  % grumpy % http://marika-kailaya.livejournal.com/434419.html 
0.365 % but the list also includes words that can be interpreted as either menacing or innocent depending on the context , such as exercise , drill , wave , initiative , relief and organization .  % angry % http://nipper-dawg.livejournal.com/1410140.html 
0.365 % this stress adds to the stomach of doom .  % depressed % http://marlburian.livejournal.com/13012.html 
0.365 % a song that has an attachment to a meaningful memory is inevitably less significant when hearing it simply to enjoy ?  % blank % http://ninjadrake.livejournal.com/24062.html 
0.365 % the persistant thought that clutters my brain , strips me of my personality , and puts me into moods .  % thoughtful % http://my-october.livejournal.com/193339.html 
0.365 % it was something that doesnt happen to me often , and never caused by another person s emotions .  % sleepy % http://ninjaturtlepunk.livejournal.com/82763.html 
0.365 % fear the pain the run jump grab run combination will cause later .  % sore % http://marika-kailaya.livejournal.com/536651.html 
0.365 % so that sort of killed off the intimidation factor for me .  % good % http://amita-wojita.livejournal.com/5178.html 
0.364 % the posion would seep into the blood stream of the prey or enemy and make it slow yet painful death .  % calm % http://nishastar.livejournal.com/213793.html 
0.364 % edit : although , funny : if i had left it up , it probably would ve been a wholly unpleasant insight to my thought processes , and potentially cause the sort of psychological damage i still crave to inflict !  % irritated % http://marika-kailaya.livejournal.com/638655.html 
0.364 % if by make a good couple you mean result in jacob s violent death , then yes .  % silly % http://nishmael.livejournal.com/301639.html 
0.364 % theme of desertion implications literal meaning , origins , and usage of despair needed : thoughts , comments , reactions on death what will should come up in despair ideas for future topics to be considered  % crushed % http://mynameiswigbert.livejournal.com/21442.html 
0.364 % it hurt my eyes to watch such bullshit occur on national t .  % aggravated % http://markurock.livejournal.com/26932.html 
0.364 % then i pulled up to the beer store i frequent and magically the darken glass doors slid open and out pop a fag cause my gaydar was going off with train whistles and dinging , gongs , and sirens .  % amused % http://amesha-spentas.livejournal.com/31279.html 
0.364 % hardly becomes angry unless provoked .  % cranky % http://ammepyre.livejournal.com/243036.html 
0.364 % to dream of a haunted house , signifies unfinished emotional business , related to your childhood family , dead relatives , or repressed memories and feelings .  % tired % http://mariurano.livejournal.com/42096.html 
0.364 % but if you would like to maybe deepen a relationship beyond just friends , try sending subtle hints .  % tired % http://american-idoit.livejournal.com/3153.html 
0.364 % and not instantaneous gut but built up gut ?  % confused % http://amless18.livejournal.com/67490.html 
0.364 % the attraction flares , instantaneous , and devin takes yet another risk and makes ewyn his own .  % good % http://niquibri.livejournal.com/42169.html 
0.364 % i also have a theory boy problems might stem from this altho causes like me moving from romania may account for that one too .  % disappointed % http://myloveforyou01.livejournal.com/5550.html 
0.364 % my mind tends to store things as vivid memories only in present moment and the very long term .  % jubilant % http://marilynmonroe26.livejournal.com/13831.html 
0.364 % evoking archetypes and themes which get under your skin .  % thirsty % http://ninjahead.livejournal.com/34362.html 
0.364 % overly emotional about everything , you re most prone to bouts of cruelty and moodiness .  % bored % http://ninja-kiko.livejournal.com/1842.html 
0.364 % enhancer : while similar to the inducer in use , this tool includes a phase regulator for correcting odn problems .  % bored % http://markmccloud.livejournal.com/137593.html 
0.364 % exit music for a movie by radiohead and the reckoning of complete disorient is set to risen by the alarm clock of confusion and single mindedness .  % depressed % http://nerdontheheard.livejournal.com/29333.html 
0.364 % just the once memories .  % crappy % http://mymindkillsme.livejournal.com/29954.html 
0.364 % pause what does whimsical mean again ?  % anxious % http://amethyst-drop.livejournal.com/57852.html 
0.364 % and for those serious moments , a book on body dysmorphic disorder , the broken mirror .  % bouncy % http://nirvyone.livejournal.com/71823.html 
0.364 % mouse : oh , and you mean by close ?  % crazy % http://ninja-mouse.livejournal.com/51415.html 
0.364 % it can be healing , calming , stress reducing , emotion inducing , sigh evoking , and it is the beauty and captivation of a woman that causes a man to want to storm the castle and slay the dragon .  % exhausted % http://ame-tordue88.livejournal.com/29936.html 
0.364 % while her final incident managed not to provoke a fresh outbreak of tears for her , i was forced to pout and sniffle and wipe my eyes .  % crushed % http://ninomit-arol.livejournal.com/212079.html 
0.364 % the taste of your tears lingers as a bittersweet reminder on my lips .  % melancholy % http://neurallydamaged.livejournal.com/1040.html 
0.364 % we later saw senses fail , underoath , killswitch engage , and my chemical romance .  % lazy % http://americanxmade.livejournal.com/2331.html 
